City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,al ghayzah,16.2079,52.176,72.37,36,6,12.82,YE,1704653931
299,dinguiraye,11.3,-10.7167,83.8,13,100,1.5,GN,1704653931
300,waynesville,35.4887,-82.9887,45.91,62,85,8.01,US,1704653932
301,mejit,10.2753,170.8646,80.31,63,100,17.47,MH,1704653932
302,ouesso,1.6136,16.0517,79.57,29,30,0.69,CG,1704653932
303,ormara,25.2088,64.6357,71.82,57,30,7.65,PK,1704653932
304,roma,43.2128,-75.4557,33.69,96,100,5.75,US,1704653900
305,san antonio de pale,-1.4014,5.6325,81.23,75,37,6.78,GQ,1704653932
306,kalengwa,-13.4659,25.0027,66.24,95,100,3.36,ZM,1704653932
307,ambon,-3.6954,128.1814,78.94,94,40,0.0,ID,1704653933
308,ust-nera,64.5667,143.2,-45.85,98,91,3.27,RU,1704653933
309,beolgyo,34.8449,127.3429,25.48,60,1,6.35,KR,1704653933
310,ust'-kulom,61.6864,53.6902,-14.3,99,100,6.49,RU,1704653933
311,fougamou,-1.2154,10.5838,75.97,93,76,1.28,GA,1704653933
312,ulladulla,-35.35,150.4667,68.09,83,100,7.65,AU,1704653933
313,kismayo,-0.3582,42.5454,80.82,74,10,15.64,SO,1704653934
314,hilo,19.7297,-155.09,74.62,95,100,7.0,US,1704653934
315,lesnoy,57.6198,63.0784,0.64,96,100,7.36,RU,1704653934
316,cooma,-36.2333,149.1333,64.83,98,100,3.56,AU,1704653934
317,luocheng,29.3848,104.0286,51.48,79,100,1.21,CN,1704653934
318,chongwe,-15.3292,28.682,75.78,85,8,2.66,ZM,1704653934
319,ghanzi,-21.5667,21.7833,84.87,33,97,4.85,BW,1704653934
320,nema,57.5067,50.5011,-10.53,96,39,8.59,RU,1704653935
321,kanganpur,30.7663,74.1231,49.95,41,33,1.36,PK,1704653935
322,kerikeri,-35.2268,173.9474,67.91,90,23,7.54,NZ,1704653935
323,nizhneangarsk,55.7833,109.55,0.0,94,98,4.0,RU,1704653935
324,katsuura,35.1333,140.3,46.42,43,82,18.54,JP,1704653935
325,purushottampur,19.5333,84.8833,64.78,82,6,2.66,IN,1704653935
326,kisangani,0.5167,25.2,76.84,45,57,0.51,CD,1704653936
327,uturoa,-16.7333,-151.4333,80.92,78,52,12.15,PF,1704653936
328,leh,34.1667,77.5833,20.39,38,100,0.31,IN,1704653936
329,sarkand,45.41,79.9186,32.9,48,27,9.64,KZ,1704653936
330,alaghsas,17.0187,8.0168,76.89,12,0,8.05,NE,1704653936
331,nurmijarvi,60.4641,24.8073,9.28,71,83,4.79,FI,1704653936
332,harnosand,62.6323,17.9379,-7.58,89,17,7.47,SE,1704653937
333,port lincoln,-34.7333,135.8667,61.18,83,100,13.53,AU,1704653937
334,urucurituba,-2.6833,-57.6667,81.16,75,99,1.52,BR,1704653937
335,gmunden,47.9189,13.7975,29.35,97,100,3.8,AT,1704653937
336,felege neway,6.3,36.8833,70.86,69,10,2.26,ET,1704653937
337,ghat,24.9647,10.1728,61.21,26,0,1.45,LY,1704653937
338,qaqortoq,60.7167,-46.0333,34.27,94,100,6.44,GL,1704653937
339,la tuque,47.4334,-72.7824,16.05,79,100,2.3,CA,1704653938
340,kingstown,13.1587,-61.2248,83.48,70,40,9.22,VC,1704653666
341,puerto lleras,3.0223,-73.4044,90.28,41,80,7.72,CO,1704653938
342,polyarnyy,69.1989,33.4478,18.93,91,100,16.22,RU,1704653938
343,kaa-khem,51.6833,94.7333,-8.59,95,84,3.22,RU,1704653938
344,kruisfontein,-34.0033,24.7314,63.88,84,100,7.94,ZA,1704653938
345,inirida,3.8653,-67.9239,93.36,41,78,3.53,CO,1704653938
346,hobyo,5.3505,48.5268,77.05,71,83,24.05,SO,1704653939
347,taltal,-25.4,-70.4833,73.24,65,20,10.42,CL,1704653939
348,whitehorse,60.7161,-135.0538,0.37,85,75,18.41,CA,1704653939
349,linxia chengguanzhen,35.6003,103.2064,29.53,35,0,2.26,CN,1704653939
350,malango,-2.9627,119.9001,69.3,97,100,1.72,ID,1704653939
351,zarinsk,53.7074,84.9493,16.9,97,98,6.31,RU,1704653939
352,orenburg,51.7727,55.0988,-1.95,92,11,8.75,RU,1704653940
353,kendari,-3.945,122.4989,76.03,95,100,3.0,ID,1704653940
354,shimanovsk,52.0,127.7,-13.79,98,95,3.29,RU,1704653940
355,huarmey,-10.0681,-78.1522,77.05,75,46,12.1,PE,1704653940
356,lockwood,45.8191,-108.4149,30.42,88,100,5.75,US,1704653940
357,ola,59.5833,151.2833,-25.56,89,18,7.63,RU,1704653941
358,troitskoye,52.9821,84.6757,17.55,98,94,6.93,RU,1704653941
359,hauterive,46.0901,3.4459,36.36,97,100,10.29,FR,1704653941
360,camana,-16.6228,-72.7111,74.39,72,64,8.41,PE,1704653941
361,ejutla de crespo,16.5667,-96.7333,72.55,45,98,4.85,MX,1704653941
362,hacienda huancane,-15.8222,-70.8856,59.52,27,80,11.48,PE,1704653942
